ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	Procedure[Block]	Running[Block]	Test	Test.Cycle	Test.Sample	Train	Train.Cycle	Train.Sample	Trial	IntensityRating	Procedure[Trial]	Question	Running[Trial]	TestList	TestList.Cycle	TestList.Sample	TrainList	TrainList.Cycle	TrainList.Sample	TrainWalkThrough	TrainWalkThrough.Cycle	TrainWalkThrough.Sample	TrialNo	valve	valve2	SubTrial	Prepare	Prepare.Cycle	Prepare.Sample	Procedure[SubTrial]	Running[SubTrial]
TMABlocker_supraStyle	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-05-31T18:33:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">8067524916765</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-05-31T18:33:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-1-1	60.321	1.0.0.2366	1	1576537584	2.0.10.242	2.0.10.242	05-31-2017	5/31/2017 6:33:51 PM	14:33:51	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	1	550	TrainWalkThroughProc	Please rate the intensity of the odor	TrainWalkThrough	NULL	NULL	NULL	NULL	NULL	NULL	1	1	1	NULL	19	22	1	1	1	1	PrepareProc	Prepare
TMABlocker_supraStyle	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-05-31T18:33:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">8067524916765</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-05-31T18:33:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-1-1	60.321	1.0.0.2366	1	1576537584	2.0.10.242	2.0.10.242	05-31-2017	5/31/2017 6:33:51 PM	14:33:51	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	2	535	ExperimentProc	Please rate the intensity of the odor	TrainList	NULL	NULL	NULL	1	1	1	NULL	NULL	NULL	?	6	24	1	1	2	2	PrepareProc	Prepare
TMABlocker_supraStyle	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-05-31T18:33:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">8067524916765</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-05-31T18:33:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-1-1	60.321	1.0.0.2366	1	1576537584	2.0.10.242	2.0.10.242	05-31-2017	5/31/2017 6:33:51 PM	14:33:51	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	3	561	ExperimentProc	Please rate the intensity of the odor	TrainList	NULL	NULL	NULL	3	1	2	NULL	NULL	NULL	?	19	22	1	1	3	3	PrepareProc	Prepare
TMABlocker_supraStyle	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-05-31T18:33:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">8067524916765</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-05-31T18:33:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-1-1	60.321	1.0.0.2366	1	1576537584	2.0.10.242	2.0.10.242	05-31-2017	5/31/2017 6:33:51 PM	14:33:51	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	4	573	ExperimentProc	Please rate the intensity of the odor	TrainList	NULL	NULL	NULL	5	1	3	NULL	NULL	NULL	?	2	22	1	1	4	4	PrepareProc	Prepare
TMABlocker_supraStyle	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-05-31T18:33:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">8067524916765</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-05-31T18:33:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-1-1	60.321	1.0.0.2366	1	1576537584	2.0.10.242	2.0.10.242	05-31-2017	5/31/2017 6:33:51 PM	14:33:51	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	5	580	ExperimentProc	Please rate the intensity of the odor	TrainList	NULL	NULL	NULL	4	1	4	NULL	NULL	NULL	?	23	24	1	1	5	5	PrepareProc	Prepare
TMABlocker_supraStyle	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-05-31T18:33:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">8067524916765</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-05-31T18:33:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-1-1	60.321	1.0.0.2366	1	1576537584	2.0.10.242	2.0.10.242	05-31-2017	5/31/2017 6:33:51 PM	14:33:51	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	6	534	ExperimentProc	Please rate the intensity of the odor	TrainList	NULL	NULL	NULL	2	1	5	NULL	NULL	NULL	?	13	2	1	1	6	6	PrepareProc	Prepare
TMABlocker_supraStyle	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-05-31T18:33:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">8067524916765</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-05-31T18:33:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-1-1	60.321	1.0.0.2366	1	1576537584	2.0.10.242	2.0.10.242	05-31-2017	5/31/2017 6:33:51 PM	14:33:51	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	1	530	ExperimentProc	Please rate the intensity of the odor	TestList	10	1	1	NULL	NULL	NULL	NULL	NULL	NULL	?	3	23	1	1	7	7	PrepareProc	Prepare
TMABlocker_supraStyle	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-05-31T18:33:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">8067524916765</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-05-31T18:33:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-1-1	60.321	1.0.0.2366	1	1576537584	2.0.10.242	2.0.10.242	05-31-2017	5/31/2017 6:33:51 PM	14:33:51	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	2	580	ExperimentProc	Please rate the intensity of the odor	TestList	8	1	2	NULL	NULL	NULL	NULL	NULL	NULL	?	5	23	1	1	8	8	PrepareProc	Prepare
TMABlocker_supraStyle	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-05-31T18:33:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">8067524916765</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-05-31T18:33:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-1-1	60.321	1.0.0.2366	1	1576537584	2.0.10.242	2.0.10.242	05-31-2017	5/31/2017 6:33:51 PM	14:33:51	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	3	580	ExperimentProc	Please rate the intensity of the odor	TestList	18	1	3	NULL	NULL	NULL	NULL	NULL	NULL	?	20	22	1	1	9	9	PrepareProc	Prepare
TMABlocker_supraStyle	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-05-31T18:33:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">8067524916765</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-05-31T18:33:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-1-1	60.321	1.0.0.2366	1	1576537584	2.0.10.242	2.0.10.242	05-31-2017	5/31/2017 6:33:51 PM	14:33:51	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	4	530	ExperimentProc	Please rate the intensity of the odor	TestList	9	1	4	NULL	NULL	NULL	NULL	NULL	NULL	?	4	24	1	1	10	10	PrepareProc	Prepare
