ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	Procedure[Block]	Running[Block]	Test	Test.Cycle	Test.Sample	Train	Train.Cycle	Train.Sample	Trial	IntensityRating	Procedure[Trial]	Question	Running[Trial]	TestList	TestList.Cycle	TestList.Sample	TrainList	TrainList.Cycle	TrainList.Sample	TrainWalkThrough	TrainWalkThrough.Cycle	TrainWalkThrough.Sample	TrialNo	valve	valve2	SubTrial	Prepare	Prepare.Cycle	Prepare.Sample	Procedure[SubTrial]	Running[SubTrial]
TMABlocker_supraStyle	9	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-06-27T19:56:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">15356273502409</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-06-27T19:56:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-9-1	60.321	1.0.0.2372	1	1765621634	2.0.10.242	2.0.10.242	06-27-2017	6/27/2017 7:56:03 PM	15:56:03	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	1	532	TrainWalkThroughProc	Please rate the intensity of the odor	TrainWalkThrough	NULL	NULL	NULL	NULL	NULL	NULL	1	1	1	NULL	19	22	1	1	1	1	PrepareProc	Prepare
TMABlocker_supraStyle	9	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-06-27T19:56:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">15356273502409</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-06-27T19:56:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-9-1	60.321	1.0.0.2372	1	1765621634	2.0.10.242	2.0.10.242	06-27-2017	6/27/2017 7:56:03 PM	15:56:03	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	2	515	ExperimentProc	Please rate the intensity of the odor	TrainList	NULL	NULL	NULL	4	1	1	NULL	NULL	NULL	?	23	24	1	1	2	2	PrepareProc	Prepare
TMABlocker_supraStyle	9	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-06-27T19:56:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">15356273502409</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-06-27T19:56:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-9-1	60.321	1.0.0.2372	1	1765621634	2.0.10.242	2.0.10.242	06-27-2017	6/27/2017 7:56:03 PM	15:56:03	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	3	521	ExperimentProc	Please rate the intensity of the odor	TrainList	NULL	NULL	NULL	1	1	2	NULL	NULL	NULL	?	6	24	1	1	3	3	PrepareProc	Prepare
TMABlocker_supraStyle	9	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-06-27T19:56:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">15356273502409</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-06-27T19:56:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-9-1	60.321	1.0.0.2372	1	1765621634	2.0.10.242	2.0.10.242	06-27-2017	6/27/2017 7:56:03 PM	15:56:03	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	4	484	ExperimentProc	Please rate the intensity of the odor	TrainList	NULL	NULL	NULL	2	1	3	NULL	NULL	NULL	?	13	2	1	1	4	4	PrepareProc	Prepare
TMABlocker_supraStyle	9	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-06-27T19:56:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">15356273502409</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-06-27T19:56:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-9-1	60.321	1.0.0.2372	1	1765621634	2.0.10.242	2.0.10.242	06-27-2017	6/27/2017 7:56:03 PM	15:56:03	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	5	545	ExperimentProc	Please rate the intensity of the odor	TrainList	NULL	NULL	NULL	3	1	4	NULL	NULL	NULL	?	19	22	1	1	5	5	PrepareProc	Prepare
TMABlocker_supraStyle	9	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-06-27T19:56:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">15356273502409</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-06-27T19:56:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-9-1	60.321	1.0.0.2372	1	1765621634	2.0.10.242	2.0.10.242	06-27-2017	6/27/2017 7:56:03 PM	15:56:03	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	6	578	ExperimentProc	Please rate the intensity of the odor	TrainList	NULL	NULL	NULL	5	1	5	NULL	NULL	NULL	?	2	22	1	1	6	6	PrepareProc	Prepare
TMABlocker_supraStyle	9	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-06-27T19:56:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">15356273502409</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-06-27T19:56:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-9-1	60.321	1.0.0.2372	1	1765621634	2.0.10.242	2.0.10.242	06-27-2017	6/27/2017 7:56:03 PM	15:56:03	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	1	531	ExperimentProc	Please rate the intensity of the odor	TestList	19	1	1	NULL	NULL	NULL	NULL	NULL	NULL	?	19	2	1	1	7	7	PrepareProc	Prepare
TMABlocker_supraStyle	9	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-06-27T19:56:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">15356273502409</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-06-27T19:56:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-9-1	60.321	1.0.0.2372	1	1765621634	2.0.10.242	2.0.10.242	06-27-2017	6/27/2017 7:56:03 PM	15:56:03	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	2	394	ExperimentProc	Please rate the intensity of the odor	TestList	22	1	2	NULL	NULL	NULL	NULL	NULL	NULL	?	16	22	1	1	8	8	PrepareProc	Prepare
TMABlocker_supraStyle	9	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-06-27T19:56:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">15356273502409</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-06-27T19:56:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-9-1	60.321	1.0.0.2372	1	1765621634	2.0.10.242	2.0.10.242	06-27-2017	6/27/2017 7:56:03 PM	15:56:03	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	3	518	ExperimentProc	Please rate the intensity of the odor	TestList	31	1	3	NULL	NULL	NULL	NULL	NULL	NULL	?	6	19	1	1	9	9	PrepareProc	Prepare
TMABlocker_supraStyle	9	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-06-27T19:56:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">15356273502409</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-06-27T19:56:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMABlocker_supraStyle-9-1	60.321	1.0.0.2372	1	1765621634	2.0.10.242	2.0.10.242	06-27-2017	6/27/2017 7:56:03 PM	15:56:03	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	4	523	ExperimentProc	Please rate the intensity of the odor	TestList	32	1	4	NULL	NULL	NULL	NULL	NULL	NULL	?	5	18	1	1	10	10	PrepareProc	Prepare
